utterance,label
"On average during the year, about one percent of a colony's worker bees <pass away> naturally per day.",1
"Her voice inspired Richard Strauss to compose his song ""Traum durch <pass away> Dämmerung"" (1895) for her.",1
"The Deputy Director of the Zoo, Dwight Lawson commented: This is the second time in my career that I have literally seen one of the very last of its kind <pass away> and an entire species disappear forever with it.",1
"The media reported that he went to <pass away> nobly, unlike many prisoners.",1
Three crewmen <pass away> of tuberculosis and are buried.,1
Allowing the sacred fire of Vesta to <pass away> out was a serious dereliction of duty.,1
Most birds collected from the wild <pass away> within 24 hours.,1
"Raven mockers are normally invisible when feeding, but those with strong medicine can not only spot them but cause them to <pass away> within seven days.",1
"Smith described Lilford afterwards as a man ""who was prepared to <pass away> for principles"", but refused to openly discuss any possible political motive, saying simply that ""it would be premature to come to conclusions"".",1
Stead had often claimed that he would <pass away> from either lynching or drowning.,1
"But in 1863, while playing the role of Friar Tuck in Heinrich Marschner's Der Templer und <pass away> Jüdin, Hölzel altered the words of the Friar's song and was dismissed from the company.",1
"The most recent former Prime Minister to <pass away> was Pierre Trudeau (1968–1979, 1980–1984), on 28 September 2000.",1
"He was discharged in January 1989, while serving with the 101st Airborne Division at Fort Campbell in Kentucky, due to <weed> use.",1
"In 2014, DJ Esco was sentenced to jail for 56 days for possessing 15 grams of <weed> in Dubai where he traveled to perform with Future at the 2014 Abu Dhabi Grand Prix.",1
"On these visits they accidentally influence major events such as the Vietnam peace process and the Nixon-Brezhnev accord, by bringing along cookies that they have inadvertently baked <weed> into.",1
"After being convicted, Willie also pleaded guilty to stealing $10,000 worth of <weed> from and murdering Dennis Hemby in 1978.",1
"E Sens was arrested for <weed> use for a third time in April 2015, violating his probation period after previously being arrested in 2012.",1
"In the video he spoke of not being a high school graduate, working at Long John Silver's, selling <weed> out of his apartment, and the value of life experience.",1
"Former Florida cornerback Janoris Jenkins resolves <weed> charge, USA Today (June 1, 2011).",1
"On October 19, 2016, police found <weed> after searching Shields' home.",1
"As teenagers, Shawn and Mark were surfers who would skip school to smoke <weed> and attend rock concerts.",1
"The cartel operates in at least six Mexican states: Michoacán, Colima, Jalisco, Mexico City, Nuevo León and Tamaulipas, where it produces <weed> and heroin.",1
"The authors cautioned that ""evidence is needed, and further research should be considered, to prove causal associations of <weed> with many physical health conditions"".",1
"It sparked hefty debate about the use and legalisation of <weed> in Australia, and gained Cocker the nickname ""the Mad Dog"".",1
"According to Time magazine, Sperling used <weed> to combat pain caused by the cancer he fought during the 1960s.",1
